Datetime,Calories,CHO,FAT,PRO
2021-05-07T00:00:00Z,2258.87,233.88,87.08,103.2
2021-05-08T00:00:00Z,2560.56,279.17,100.95,106.84
2021-05-09T00:00:00Z,2023.54,246.91,80.44,84.58
2021-05-10T00:00:00Z,1970.58,158.13,80.13,83.2
2021-05-11T00:00:00Z,1861.79,206.37,68.8,112.97
2021-05-12T00:00:00Z,1412.43,177.85,46.09,79.25
2021-05-13T00:00:00Z,2033.55,267.82,74.49,86.66
2021-05-14T00:00:00Z,2908.66,392.39,91.81,98.19
2021-05-15T00:00:00Z,2912.03,254.62,144.57,111.56
2021-05-16T00:00:00Z,2616.03,243.98,129.3,130.8
2021-05-17T00:00:00Z,2146.93,212.56,80.1,112.51
2021-05-18T00:00:00Z,1918.97,225.79,60.54,82.66
2021-05-19T00:00:00Z,1897.08,226.45,81.99,73.45
2021-05-20T00:00:00Z,2413.43,221.74,120.04,83.54
2021-05-21T00:00:00Z,3223.43,266.13,129.98,163.15
2021-05-22T00:00:00Z,2101.74,280.69,80.97,81.37
2021-05-23T00:00:00Z,2450.51,301.05,91.05,132.53
2021-05-24T00:00:00Z,1632.76,164.01,53.6,134.32
2021-05-25T00:00:00Z,2145.73,188.26,99.99,113
2021-05-26T00:00:00Z,1788.54,185.56,66.93,119.51
2021-05-27T00:00:00Z,1933.22,224.63,68.71,101.29
2021-05-28T00:00:00Z,2564.86,261.16,85.84,113.09
2021-05-29T00:00:00Z,2316.21,271.83,69.44,112.4
2021-05-30T00:00:00Z,2945.65,364.28,91.67,147.62
2021-05-31T00:00:00Z,2913.93,284.65,131.72,136.65
2021-06-01T00:00:00Z,2970.34,328.49,114.17,137.02
2021-06-02T00:00:00Z,2283.19,255.9,107.48,90.64
2021-06-03T00:00:00Z,2155.82,228.37,69.47,113.27
2021-06-04T00:00:00Z,2705.32,319.36,97.36,90.87
2021-06-05T00:00:00Z,2500.07,315.2,62.54,128.98
2021-06-06T00:00:00Z,325.03,53.6,9.74,13.75
2021-06-12T00:00:00Z,2676.42,289.24,97.75,126.48
2021-06-13T00:00:00Z,1602.04,185.52,60.43,93.8
2021-06-14T00:00:00Z,2589.24,324.38,94.96,111.41
2021-06-15T00:00:00Z,2511,205.87,117.38,105
2021-06-16T00:00:00Z,1926.13,202.64,79.39,73.41
2021-06-17T00:00:00Z,1166.99,183.15,37.22,43.49
2021-06-18T00:00:00Z,1128.82,166.84,37.71,46.29
2021-06-28T00:00:00Z,1690.23,198.43,55.92,64.89
2021-06-30T00:00:00Z,2195.08,256.5,89.48,107.82
2021-07-01T00:00:00Z,2444.44,293.82,99.98,102.93
2021-07-02T00:00:00Z,1234.98,166.47,40.18,50.9
2021-07-05T00:00:00Z,1256.19,116.12,56.51,73.55
2021-08-26T00:00:00Z,325.03,53.6,9.74,13.75
2021-09-03T00:00:00Z,243.67,40.84,7.01,15.88
2021-09-18T00:00:00Z,377.12,73.42,8.69,24.35
2021-10-12T00:00:00Z,1647.99,229.01,59.69,72.7
2021-10-13T00:00:00Z,2229.22,317.99,84.49,77.16
2021-10-14T00:00:00Z,3774.29,469.56,144.09,124.52
2021-10-15T00:00:00Z,1579.75,152,73.54,93.58
2021-10-16T00:00:00Z,1687.6,163.73,70.96,89.9
2021-10-17T00:00:00Z,2818.76,371.52,109.65,111.42
2021-10-18T00:00:00Z,2903.45,280.24,143.77,107.33
2021-10-19T00:00:00Z,678.37,123.21,21.37,34.39
2021-10-20T00:00:00Z,1462.37,159.25,53.52,103.72
2021-10-21T00:00:00Z,1570.85,154.02,56,124.22
